date,val
1960,nan
1961,4.889298893
1962,-0.967458227
1963,5.625790136
1964,2.034709756
1965,5.571847509
1966,3.666666664
1967,-2.94748124
1968,6.073992269
1969,-9.370119731
1970,4.365307293
1971,3.696316979
1972,6.770098737
1973,8.058124172
1974,4.24538786
1975,9.808102348
1976,5.0
1977,1.70596394
1978,-2.313741536
1979,3.592368545
1980,1.352068013
1981,-3.385355565
1982,5.607533966
1983,-14.20432518
1984,13.74735872
1985,6.729248763
1986,-3.160058862
1987,2.07551958
1988,4.115335963
1989,-1.526845268
1990,4.611818333
1991,9.859885392
1992,-4.235113812
1993,4.143547209
1994,6.672349704
1995,1.403728674
1996,6.704282471
1997,4.554766474
1998,-4.429181119
1999,2.507101006
2000,3.475380226
2001,3.460881096
2002,0.447307507
2003,8.712849961
2004,0.247833466
2005,4.982831899
2006,4.259476046
2007,-0.505785632
2008,2.614980176
2009,3.681939134
2010,-1.178079653
2011,3.055873223
2012,4.149438574
2013,4.685121638
2014,3.820058945
2015,5.116094559
2016,3.133453165
2017,7.598600424
2018,6.911447373
2019,5.299646218
2020,3.128588452
2021,1.806892712
2022,3.751270005
2023,nan
