date,val
1960,nan
1961,-3.571387899
1962,0.601704556
1963,0.698910589
1964,4.367255195
1965,-9.816228734
1966,8.280497539
1967,6.470529369
1968,4.41966631
1969,-3.174547318
1970,8.743145016
1971,3.517797196
1972,3.88333387
1973,3.73847911
1974,3.603420599
1975,3.478379716
1976,-4.621780054
1977,3.964515312
1978,-0.423668986
1979,6.38301874
1980,7.597414106
1981,4.395633179
1982,4.999973655
1983,4.511304418
1984,-1.678657062
1985,0.731707297
1986,0.811137968
1987,9.816260366
1988,6.640129461
1989,3.777844782
1990,1.581027638
1991,-9.510918356
1992,6.658821356
1993,-9.73902388
1994,-3.186543442
1995,6.470154343
1996,0.539999989
1997,0.790974559
1998,1.681627827
1999,-6.478779796
2000,4.363207567
2001,8.022598853
2002,8.577405847
2003,6.262042394
2004,4.80507705
2005,4.411764716
2006,1.392321673
2007,-1.367136505
2008,7.224849374
2009,0.525989117
2010,3.874652596
2011,4.982168495
2012,15.8192628
2013,3.681013111
2014,0.213205398
2015,-0.772252157
2016,0.841273372
2017,9.952084177
2018,-0.033657833
2019,0.823455877
2020,3.906225455
2021,1.900006479
2022,2.999999984
2023,nan
