date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,-13.05451278
1977,-1.999669504
1978,2.425561364
1979,-1.912794667
1980,-0.788168247
1981,1.135136614
1982,-2.344537823
1983,-2.852182984
1984,2.376069198
1985,1.911977937
1986,1.888335752
1987,5.909275645
1988,0.379157795
1989,0.473834629
1990,2.165556436
1991,5.670709943
1992,6.304493025
1993,0.924371513
1994,2.671757465
1995,2.985479527
1996,5.035415846
1997,-4.158753011
1998,-4.720037428
1999,5.513186164
2000,-5.386326962
2001,4.103649831
2002,1.198866071
2003,1.848507508
2004,-5.882063957
2005,-8.293042063
2006,5.108192368
2007,-1.293061267
2008,-1.003109812
2009,6.764254404
2010,1.745744675
2011,3.903543251
2012,11.59537504
2013,-1.612246342
2014,5.721713646
2015,1.623311546
2016,-1.044416268
2017,1.842995709
2018,2.583220202
2019,-4.589799517
2020,-1.537965945
2021,-1.549507098
2022,5.480911273
2023,nan
