date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,-2.542245966
1993,-9.713050031
1994,-26.11320043
1995,2.231178439
1996,3.644964901
1997,0.879181784
1998,-2.022830977
1999,8.302208597
2000,-3.903874218
2001,-3.397680016
2002,-1.212441668
2003,2.023408721
2004,30.53000417
2005,-27.03419772
2006,-6.247164823
2007,24.96659581
2008,18.85197374
2009,-3.048109529
2010,-11.53069639
2011,-4.477896753
2012,2.882515391
2013,2.53997159
2014,9.671949676
2015,-13.79310345
2016,-1.75
2017,6.086533644
2018,-17.59570782
2019,13.62207322
2020,2.715441887
2021,7.980845201
2022,-6.171488091
2023,nan
