date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,11.01540995
1979,-33.41676685
1980,-2.061460155
1981,19.88221266
1982,1.70915619
1983,0.117956236
1984,6.151721133
1985,-5.313273281
1986,17.57830674
1987,3.953171704
1988,6.571107921
1989,-15.73800872
1990,8.952913173
1991,-0.72853544
1992,1.83127572
1993,-0.127971981
1994,-4.646614513
1995,-9.052974043
1996,5.86359748
1997,-2.049511496
1998,-2.362381881
1999,-2.696059605
2000,-1.191979792
2001,-5.424622513
2002,-2.382159149
2003,-5.183454483
2004,0.109519029
2005,-0.364664053
2006,1.244395645
2007,-7.916854948
2008,13.49494553
2009,1.738152888
2010,-8.287292818
2011,7.312326228
2012,7.815873564
2013,4.581864787
2014,-0.153186275
2015,-2.784596502
2016,9.311133907
2017,-19.05002527
2018,-27.37649367
2019,21.63555992
2020,3.230365435
2021,23.39135537
2022,-0.681566017
2023,nan
