date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,-3.093616631
1992,-0.219648585
1993,-2.730792802
1994,-5.567423043
1995,-0.724296691
1996,1.327591669
1997,1.270918603
1998,-1.413702612
1999,3.467991557
2000,2.508492991
2001,0.675993305
2002,2.858420569
2003,-2.427038993
2004,8.51569303
2005,-2.742883103
2006,0.539500669
2007,0.085545414
2008,6.0771698
2009,1.210209656
2010,-2.605420333
2011,6.168146357
2012,-3.441224819
2013,3.673751614
2014,5.41931653
2015,0.707135481
2016,-0.53019734
2017,2.198453183
2018,0.40621898
2019,2.005093551
2020,-0.215201349
2021,0.183345263
2022,-1.29002372
2023,nan
