date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,-19.44491355
1994,36.6749712
1995,-11.69324147
1996,-5.760961488
1997,0.510947983
1998,57.35294202
1999,-7.661240455
2000,-43.49619038
2001,29.14639019
2002,-7.534239698
2003,-11.85185794
2004,-3.151258872
2005,69.63124504
2006,8.823524246
2007,1.292600388
2008,-43.48736213
2009,3.600002299
2010,nan
2011,nan
2012,nan
2013,nan
2014,nan
2015,nan
2016,nan
2017,nan
2018,nan
2019,nan
2020,nan
2021,nan
2022,nan
2023,nan
