date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,5.240566865
1983,-1.889814783
1984,-2.400234874
1985,3.710625829
1986,7.926850173
1987,2.605495027
1988,1.601575167
1989,9.314747323
1990,-1.784815919
1991,-2.046180599
1992,4.7350025
1993,3.119775747
1994,0.844910451
1995,2.443938829
1996,5.423671644
1997,4.189100171
1998,3.601705634
1999,2.291059135
2000,-2.067292995
2001,5.35643609
2002,15.23501165
2003,1.732104642
2004,3.239027892
2005,7.652961719
2006,6.510945935
2007,0.359189493
2008,3.865639097
2009,4.732792588
2010,3.739603591
2011,3.234286807
2012,3.143677711
2013,4.045063279
2014,1.633448476
2015,-0.065310496
2016,3.48351441
2017,2.337839714
2018,2.816119155
2019,3.630266843
2020,1.061394317
2021,0.337116465
2022,0.621073691
2023,nan
