date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,nan
2005,nan
2006,nan
2007,-1.717656692
2008,7.404239867
2009,7.225542662
2010,5.276573459
2011,0.84611379
2012,2.30194985
2013,5.955422964
2014,0.900467027
2015,2.057249909
2016,2.733034319
2017,6.213839184
2018,4.875724295
2019,4.655108008
2020,7.283710902
2021,8.45684884
2022,4.154630219
2023,nan
