date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,-1.800126301
1997,1.070870968
1998,1.499501358
1999,3.117133699
2000,-3.191627236
2001,-0.558274136
2002,-2.282432826
2003,-0.147366099
2004,1.643296805
2005,3.581544223
2006,-13.74071706
2007,-12.82420598
2008,1.166451706
2009,4.963159085
2010,4.677485249
2011,2.821977594
2012,5.994325206
2013,-7.019723994
2014,5.132035318
2015,-2.420779273
2016,-7.437193494
2017,13.02701577
2018,-2.020023545
2019,6.169351751
2020,-8.456398132
2021,-3.765871091
2022,12.09414187
2023,nan
