date,val
1960,nan
1961,5.550654809
1962,-0.894683683
1963,-7.653343746
1964,-0.998008268
1965,8.676293479
1966,-6.836264111
1967,3.219174268
1968,-6.662143743
1969,9.728279416
1970,-1.850649406
1971,11.05952073
1972,-7.181703509
1973,-4.168099869
1974,81.16838182
1975,12.64187724
1976,-26.51147996
1977,-12.101204
1978,6.112846375
1979,-3.572992197
1980,5.720682375
1981,-7.846601363
1982,-6.681323562
1983,-8.503621816
1984,-0.031885234
1985,10.48209195
1986,-0.60215477
1987,15.59959081
1988,-15.79528104
1989,-2.488479257
1990,-15.12287335
1991,14.47661481
1992,27.23735401
1993,5.351681946
1994,11.17561676
1995,7.963446449
1996,7.678355543
1997,3.312745635
1998,-6.413043507
1999,14.63414648
2000,-10.18237084
2001,3.722504164
2002,6.03588904
2003,-1.743589767
2004,3.183716222
2005,-13.70763785
2006,3.98858565
2007,0.560376383
2008,2.341006633
2009,3.223680627
2010,1.684174981
2011,4.624301451
2012,4.762117312
2013,4.056145999
2014,7.674144575
2015,3.250503864
2016,-11.10760996
2017,12.66590247
2018,6.63128131
2019,-0.495472538
2020,4.149497439
2021,-9.070236092
2022,11.93827135
2023,nan
