date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,0.859322436
1999,5.245671271
2000,5.289864181
2001,-2.005969893
2002,-0.26497257
2003,-0.580493505
2004,6.232405493
2005,1.440941227
2006,-1.580929939
2007,-4.335361635
2008,3.825506962
2009,3.352372901
2010,-2.564169322
2011,0.963160104
2012,-2.979827372
2013,6.160960775
2014,2.932704027
2015,1.248703206
2016,0.472913155
2017,0.954858876
2018,0.563286256
2019,0.36937566
2020,2.171448978
2021,-5.249415913
2022,1.084651685
2023,nan
