date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,-3.888325479
1986,7.659806198
1987,6.655757853
1988,-2.423772035
1989,9.640648116
1990,-4.606557082
1991,2.423988713
1992,3.226714826
1993,5.308606964
1994,-1.582883576
1995,6.386370336
1996,9.115907469
1997,5.335776178
1998,1.734412011
1999,3.028244121
2000,-1.329584567
2001,3.963367806
2002,1.457655762
2003,4.299046585
2004,-0.348890379
2005,5.824033291
2006,4.937175338
2007,1.782072246
2008,4.872080255
2009,3.415483919
2010,3.608981961
2011,1.417798843
2012,1.917493107
2013,2.724390952
2014,4.47838919
2015,2.758780664
2016,3.674264203
2017,5.364688743
2018,2.815678447
2019,3.284069487
2020,2.606840026
2021,2.639905568
2022,3.718627777
2023,nan
