date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,2.534744931
1997,1.577968884
1998,5.046549739
1999,-4.318589401
2000,1.146876603
2001,1.805039814
2002,4.55013171
2003,-7.276940801
2004,14.0479381
2005,-4.348193548
2006,8.759485727
2007,-4.832107315
2008,7.224295256
2009,-2.436578613
2010,-9.012463207
2011,-2.683655869
2012,-18.57470625
2013,5.075960121
2014,-13.92265926
2015,2.384412338
2016,6.430371687
2017,-2.278285211
2018,6.1711847
2019,1.892175933
2020,-0.162321764
2021,9.640111501
2022,-4.337060542
2023,nan
