date,val
1960,nan
1961,1.592358584
1962,2.216026129
1963,5.197938671
1964,9.060292418
1965,1.698026486
1966,3.335020421
1967,4.703488126
1968,1.184833029
1969,2.76611515
1970,5.613038077
1971,1.884771561
1972,-0.263551782
1973,5.150978411
1974,3.206930484
1975,3.688108753
1976,0.882330193
1977,2.372600984
1978,1.695723758
1979,0.069289303
1980,3.139462778
1981,5.230352231
1982,4.811025047
1983,4.633579669
1984,5.369730996
1985,2.491229554
1986,2.565747055
1987,2.564347234
1988,5.21282788
1989,2.813228137
1990,4.044593072
1991,0.938096391
1992,3.468421119
1993,1.040982728
1994,2.315505282
1995,2.344538513
1996,5.162541422
1997,1.416570822
1998,2.708847317
1999,2.746532881
2000,2.010460361
2001,3.591304804
2002,2.575077921
2003,4.060919197
2004,3.726019883
2005,4.590664355
2006,4.254927239
2007,2.993247841
2008,3.160591217
2009,2.289866223
2010,4.370859739
2011,4.57583634
2012,2.582105312
2013,4.409898611
2014,2.856803193
2015,2.652468774
2016,2.773099107
2017,4.405320564
2018,2.731390202
2019,3.424826606
2020,2.635413344
2021,3.874452221
2022,2.86675768
2023,nan
