date,val
1960,nan
1961,0.084207445
1962,-1.989098825
1963,2.339252223
1964,9.224274695
1965,-11.04219709
1966,-1.422579223
1967,14.87087224
1968,-0.158278985
1969,6.427516144
1970,7.092165396
1971,-1.877366736
1972,-5.018479761
1973,7.201906548
1974,-1.523356923
1975,12.88978365
1976,-5.778182819
1977,10.03625382
1978,2.302506766
1979,-12.77469046
1980,12.88822533
1981,4.601673302
1982,-0.280834936
1983,10.12097408
1984,1.585092368
1985,0.314273271
1986,-0.40948445
1987,-1.587796599
1988,15.63964748
1989,1.189154742
1990,4.015095805
1991,-1.952488236
1992,6.651006784
1993,3.322706831
1994,4.715980136
1995,-0.695377068
1996,9.920299242
1997,-2.553727841
1998,6.320454458
1999,2.669127348
2000,-0.007618145
2001,6.007089569
2002,-6.604234506
2003,9.048581156
2004,0.183532764
2005,4.809364046
2006,2.938795489
2007,5.506476629
2008,-0.244194259
2009,-0.880233002
2010,8.791758284
2011,6.397806257
2012,1.487460493
2013,5.570475661
2014,-0.216448197
2015,0.649599318
2016,6.79755863
2017,6.605921516
2018,2.096466006
2019,6.160309153
2020,4.11173162
2021,3.505946373
2022,3.96193431
2023,nan
