date,val
1960,nan
1961,1.359596231
1962,0.495275516
1963,2.408525036
1964,-2.042581317
1965,7.646303187
1966,3.58554318
1967,7.964481328
1968,9.520283619
1969,1.250343135
1970,3.342132471
1971,-0.635718414
1972,13.52766921
1973,5.79863673
1974,3.435242326
1975,9.839446579
1976,11.72207109
1977,-3.912597582
1978,6.688106763
1979,6.067792839
1980,3.686045332
1981,1.851565657
1982,7.120944557
1983,4.553379509
1984,7.340517506
1985,7.898374217
1986,4.754384008
1987,2.483350423
1988,-0.642134191
1989,4.336492294
1990,11.02881036
1991,5.619017974
1992,10.28573992
1993,0.963776312
1994,2.111322026
1995,3.708185129
1996,3.287285783
1997,0.983932874
1998,10.5654511
1999,-7.302448217
2000,3.473618934
2001,-2.263004858
2002,13.55931258
2003,4.950517625
2004,0.315385329
2005,11.76815513
2006,7.739909304
2007,2.221395972
2008,-20.35321429
2009,7.61844757
2010,6.116945263
2011,3.72266447
2012,5.000692693
2013,5.335366073
2014,8.299312481
2015,2.96378077
2016,4.943843208
2017,3.353291007
2018,-2.275343535
2019,9.123396291
2020,3.165147126
2021,-2.615025078
2022,1.13306066
2023,nan
