date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,0.170990566
1970,9.088233561
1971,3.965898667
1972,20.52626116
1973,-23.79537528
1974,19.17839182
1975,-14.10554265
1976,22.69816737
1977,-2.51034731
1978,1.209044765
1979,-1.431697978
1980,-0.527338329
1981,1.911272323
1982,10.86926762
1983,-3.83586451
1984,10.96511877
1985,15.72491997
1986,-4.296093852
1987,-8.344071045
1988,7.690261788
1989,9.723741313
1990,10.86530113
1991,-16.54968386
1992,22.75476157
1993,-1.118378209
1994,7.118314052
1995,11.95402299
1996,7.404135429
1997,-8.103061157
1998,8.256325898
1999,15.93707403
2000,-11.4443097
2001,1.025353121
2002,17.08381925
2003,-29.20275454
2004,17.53134341
2005,31.37933477
2006,4.267673258
2007,-27.68417946
2008,-13.90232929
2009,3.559629104
2010,13.51471426
2011,16.27145876
2012,-6.899452728
2013,23.91557132
2014,-2.013063404
2015,-36.88328634
2016,-0.308680893
2017,-15.99809314
2018,37.66335259
2019,46.15987128
2020,22.45512464
2021,-20.5579537
2022,-10.56248789
2023,nan
