date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,3.657884001
1997,-1.763401095
1998,-3.297016921
1999,-2.577243032
2000,-2.024542931
2001,1.44352702
2002,2.417178633
2003,-3.147309053
2004,3.66506208
2005,-0.731727777
2006,-2.859542755
2007,-1.444184951
2008,1.989663569
2009,0.665134304
2010,-10.68869548
2011,-5.742466346
2012,10.81660616
2013,2.091722263
2014,-0.949026312
2015,4.682672183
2016,1.090376846
2017,0.041350142
2018,6.629390037
2019,10.04380293
2020,-8.705528853
2021,8.7405086
2022,7.828648365
2023,nan
