date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,10.19998488
1989,4.619331254
1990,1.370225364
1991,-7.739627858
1992,-2.635530522
1993,-8.632160856
1994,-8.60553997
1995,-2.010366435
1996,15.19160777
1997,12.2569753
1998,2.852301353
1999,8.212298185
2000,2.680211488
2001,7.276128734
2002,3.108186576
2003,3.195432183
2004,4.108172134
2005,-4.162522314
2006,1.696625748
2007,1.612527675
2008,0.862556856
2009,6.724665225
2010,-2.571594666
2011,1.846525152
2012,1.247282217
2013,2.650923995
2014,-0.549727272
2015,6.155810476
2016,2.866177337
2017,2.235068062
2018,2.604734837
2019,2.47753359
2020,0.860614118
2021,-4.540906049
2022,7.296307388
2023,nan
