date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,-1.63560557
1984,49.10337807
1985,-19.79012602
1986,-18.42052843
1987,-7.363301577
1988,47.69118865
1989,-23.758342
1990,-20.67490525
1991,-52.73285505
1992,10.23942249
1993,0.618624975
1994,0.214372491
1995,9.118502787
1996,-14.1451245
1997,-4.704980491
1998,9.016497702
1999,1.908759228
2000,-3.894854102
2001,2.471159078
2002,-4.346473616
2003,8.841915086
2004,5.689287805
2005,-7.11807489
2006,-0.796271359
2007,0.103819311
2008,3.44446474
2009,-0.326213499
2010,-3.8889406
2011,8.326590543
2012,2.132672719
2013,-0.735013822
2014,5.979120441
2015,-4.836012551
2016,11.05680004
2017,13.08442309
2018,-2.558493651
2019,2.506190705
2020,-1.788002941
2021,4.971999082
2022,nan
2023,nan
