date,val
1960,nan
1961,14.90460801
1962,-6.333072713
1963,9.56803005
1964,15.97837243
1965,1.184198522
1966,8.857792044
1967,-5.060795812
1968,0.122140601
1969,9.047419878
1970,-0.713572256
1971,5.523452339
1972,3.024825535
1973,6.593081188
1974,6.304735844
1975,5.303629177
1976,8.959381572
1977,3.038309115
1978,-9.894451813
1979,11.42559259
1980,-16.1449762
1981,15.73330183
1982,7.813545672
1983,9.31567236
1984,-2.607214352
1985,5.942981373
1986,5.223908441
1987,-4.342276138
1988,9.399412479
1989,-0.138495943
1990,-5.633193514
1991,3.190576137
1992,8.974816854
1993,-4.219756679
1994,0.118090851
1995,6.82201818
1996,3.889237876
1997,4.311118622
1998,-7.562359583
1999,5.124639713
2000,0.295668348
2001,0.4082085
2002,-3.018395879
2003,-6.150320946
2004,7.69330272
2005,0.573163774
2006,2.312058908
2007,4.993470442
2008,6.438589847
2009,4.633779324
2010,-3.643368533
2011,-1.02435929
2012,-0.495564453
2013,4.197937521
2014,5.081601555
2015,-0.246792004
2016,-5.634277597
2017,2.253677456
2018,0.15408705
2019,3.935943592
2020,-5.787013454
2021,5.181335615
2022,-1.012373453
2023,nan
