date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,1.327443863
1967,3.574182216
1968,0.613448022
1969,3.872136673
1970,2.317246519
1971,5.016208542
1972,2.719482611
1973,3.672632979
1974,2.889166393
1975,2.956086096
1976,2.438872265
1977,6.217357433
1978,2.587770244
1979,1.941382486
1980,2.578096819
1981,6.449750739
1982,0.767347215
1983,0.085585983
1984,2.912369843
1985,3.445342559
1986,-1.899472452
1987,5.525611486
1988,1.839392568
1989,0.01254543
1990,1.561252174
1991,1.450648767
1992,1.053112907
1993,1.529050141
1994,3.657392447
1995,3.703574389
1996,2.64082783
1997,0.878310722
1998,2.612384313
1999,3.773931776
2000,1.849990337
2001,3.463848545
2002,2.70483127
2003,5.821280987
2004,1.789875557
2005,3.270368646
2006,3.809908438
2007,4.91492946
2008,2.155008938
2009,-5.449141812
2010,8.279901104
2011,2.686674072
2012,-1.614012602
2013,6.811325946
2014,2.747207478
2015,3.335989951
2016,-1.035640668
2017,7.377696044
2018,0.160913989
2019,2.956536223
2020,0.678459644
2021,1.464168829
2022,-0.619678505
2023,nan
