date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,0.114185733
1984,-4.277696205
1985,-7.078694677
1986,9.524845201
1987,8.014985912
1988,-2.216546066
1989,12.33837357
1990,-5.393365752
1991,2.169569545
1992,6.299893344
1993,3.414972343
1994,0.047023281
1995,2.632916883
1996,8.1417738
1997,7.094567327
1998,4.639707688
1999,0.724055246
2000,-3.869027457
2001,5.21770411
2002,2.687505652
2003,2.522640901
2004,-2.131939324
2005,6.219942673
2006,6.559803895
2007,-0.837037872
2008,3.196343209
2009,4.818375952
2010,2.647245808
2011,1.703186272
2012,1.515602994
2013,2.243448071
2014,-0.48760177
2015,1.022132688
2016,3.890250575
2017,3.595528068
2018,1.245315508
2019,2.935628428
2020,0.973918344
2021,1.391407445
2022,3.819257932
2023,nan
