date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,11.20318714
1997,6.066649142
1998,-6.749665786
1999,-15.90339688
2000,4.290030522
2001,-6.578197967
2002,6.148475454
2003,5.479486143
2004,-3.463098066
2005,1.751631738
2006,-10.87262275
2007,12.28983739
2008,2.455865173
2009,1.400403809
2010,-6.583404325
2011,6.676550966
2012,12.00111633
2013,-3.070277466
2014,4.016548223
2015,4.890755475
2016,-3.87616196
2017,-0.084856322
2018,-10.70969814
2019,10.33840643
2020,18.00482472
2021,-8.393776281
2022,0.217803233
2023,nan
