date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,1.932589385
1997,1.277520447
1998,7.261978323
1999,3.492239187
2000,-0.830901467
2001,9.837114754
2002,18.09259093
2003,1.358558557
2004,0.30500743
2005,12.27181651
2006,1.737074869
2007,-19.13650305
2008,-5.931997471
2009,-2.342303662
2010,-3.865793272
2011,-0.049425692
2012,-0.182764768
2013,7.076607254
2014,-0.35352243
2015,-0.522016525
2016,1.501533078
2017,8.243434677
2018,4.932963326
2019,-8.070671363
2020,6.550080482
2021,-0.726688344
2022,3.100796203
2023,nan
