date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,2.283246162
1967,1.26642018
1968,1.877304719
1969,1.134840578
1970,4.161078641
1971,5.825235328
1972,0.68825254
1973,4.012984549
1974,2.507716309
1975,1.950455659
1976,1.02382795
1977,7.7455985
1978,6.05511239
1979,-2.162393165
1980,7.174805636
1981,7.802115924
1982,-2.237809
1983,2.013047499
1984,1.479932938
1985,3.045754928
1986,-1.278110572
1987,1.26732008
1988,-3.372376924
1989,-1.361652348
1990,7.180141275
1991,2.271228683
1992,-2.161515135
1993,5.084116517
1994,-0.174087597
1995,1.220185586
1996,3.804278719
1997,-0.051412547
1998,3.206485401
1999,1.231979892
2000,1.130934188
2001,5.205479735
2002,-1.130435437
2003,3.708268713
2004,2.50441208
2005,-3.088686581
2006,6.00500424
2007,4.365687507
2008,0.796527472
2009,-2.780769607
2010,2.420387526
2011,-2.419974424
2012,6.054411679
2013,3.015158113
2014,3.155255663
2015,1.852880126
2016,2.915397233
2017,3.267793233
2018,2.459327018
2019,0.298819582
2020,1.119855377
2021,2.315781178
2022,2.909508047
2023,nan
