date,val
1960,nan
1961,1.599247592
1962,2.244750526
1963,5.213845361
1964,9.099312972
1965,1.69981197
1966,3.859231102
1967,4.804596885
1968,1.294437293
1969,2.772926866
1970,5.542260358
1971,1.827430719
1972,-0.099564919
1973,5.258801526
1974,2.974005549
1975,3.694364787
1976,0.648103692
1977,2.262111268
1978,1.940601652
1979,0.245430192
1980,3.24501437
1981,5.14860265
1982,4.789353232
1983,4.877190119
1984,5.875021108
1985,2.822986889
1986,2.308988532
1987,2.3134122
1988,5.538739583
1989,2.418084985
1990,4.387942198
1991,0.890364531
1992,3.39168196
1993,0.782628604
1994,2.357255731
1995,2.290911692
1996,5.22294644
1997,1.242045709
1998,2.810305968
1999,3.021253205
2000,2.436695266
2001,3.350655495
2002,2.593070517
2003,4.159130426
2004,3.921445914
2005,4.651884914
2006,4.16500022
2007,3.403047739
2008,3.099347219
2009,2.152052169
2010,4.565711365
2011,4.68362094
2012,2.840307657
2013,4.434508625
2014,3.047960119
2015,2.847541364
2016,2.74467442
2017,4.446068612
2018,2.81075007
2019,3.499373515
2020,2.731532048
2021,4.002484035
2022,2.904751677
2023,nan
