date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,18.41827299
2002,0.190988554
2003,2.001525419
2004,1.437534393
2005,30.00838596
2006,3.347699287
2007,-7.524376271
2008,-41.14233615
2009,40.80530994
2010,-1.512369593
2011,-22.74212049
2012,4.251911988
2013,7.530299588
2014,8.271770978
2015,1.796732302
2016,18.61126817
2017,-22.52157062
2018,3.414484365
2019,-28.35373908
2020,60.73180653
2021,46.0412696
2022,2.360470736
2023,nan
