date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,2.563859703
2002,8.771143146
2003,-0.911167833
2004,4.108749231
2005,1.796218756
2006,4.517774727
2007,-11.44585041
2008,11.50193622
2009,1.954335987
2010,-1.40447476
2011,11.04952344
2012,-12.80304736
2013,13.64651703
2014,1.836002
2015,2.053551506
2016,3.898011092
2017,-3.114489038
2018,3.309091041
2019,-2.180951714
2020,1.13735689
2021,-0.479933128
2022,-2.943667787
2023,nan
