date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,1.444326186
1972,7.624009332
1973,11.77808239
1974,6.910161976
1975,-3.035352652
1976,12.23913257
1977,2.362462698
1978,1.645473672
1979,5.750033717
1980,1.282302329
1981,4.858181629
1982,6.467616363
1983,-0.641763782
1984,2.840207817
1985,1.987436714
1986,4.167370646
1987,7.029479457
1988,2.712388445
1989,4.758181275
1990,-1.72839312
1991,1.040077269
1992,6.858668447
1993,-3.138866371
1994,-1.894073805
1995,-2.534305299
1996,4.534302203
1997,0.670757021
1998,-2.765129784
1999,0.479675462
2000,6.058193552
2001,-0.172937015
2002,2.866575281
2003,6.030949013
2004,4.674997551
2005,2.593833403
2006,5.835856788
2007,8.826785542
2008,-3.444377824
2009,-10.27582094
2010,14.39613369
2011,6.844670672
2012,0.960984685
2013,1.98532545
2014,2.047575648
2015,1.448714667
2016,-3.651872584
2017,5.886546708
2018,0.128631581
2019,1.943053283
2020,-2.425841513
2021,-0.109979921
2022,0.073737374
2023,nan
