date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,4.499536326
1997,-1.002461899
1998,3.091335706
1999,2.035066802
2000,3.681486951
2001,0.919478901
2002,1.777862506
2003,1.9662182
2004,2.75013797
2005,4.834830948
2006,-0.057714806
2007,0.087171305
2008,-2.533505525
2009,0.817910505
2010,1.315814522
2011,-0.324636967
2012,3.844858766
2013,-0.716154772
2014,0.996495703
2015,1.580375646
2016,2.51396895
2017,0.896035128
2018,3.42236686
2019,4.871892199
2020,1.468921392
2021,3.688847168
2022,2.652953564
2023,nan
