date,val
1960,nan
1961,4.994937563
1962,4.275152684
1963,1.741676942
1964,7.059536434
1965,-0.084901656
1966,6.52882028
1967,4.90561021
1968,-2.838676974
1969,4.708490935
1970,10.22670653
1971,-1.842016047
1972,-6.032696293
1973,-0.89438863
1974,4.920262084
1975,-0.54200542
1976,2.1442957
1977,-0.684295987
1978,-0.362022656
1979,4.313173933
1980,-6.415730337
1981,9.052707408
1982,2.961576572
1983,-10.76775021
1984,11.83942481
1985,3.739419265
1986,6.155752944
1987,5.078809107
1988,7.851851852
1989,-4.781936813
1990,-6.419619511
1991,1.936602756
1992,-6.115311909
1993,10.35940803
1994,14.90603904
1995,3.723404255
1996,5.671641791
1997,3.947559032
1998,-0.682879242
1999,12.77625763
2000,7.042428767
2001,-1.999302569
2002,4.85707508
2003,1.17640405
2004,2.739113422
2005,3.563850046
2006,8.358726489
2007,3.941818182
2008,7.449388936
2009,0.303885392
2010,0.978143259
2011,8.122240796
2012,1.771981289
2013,2.605850504
2014,-1.089514843
2015,3.953175974
2016,1.73896991
2017,2.968500508
2018,9.632057517
2019,1.4980551
2020,0.966015266
2021,5.295187904
2022,3.032830841
2023,nan
