date,val
1960,nan
1961,nan
1962,5.388957714
1963,3.562446147
1964,4.735909523
1965,3.689333449
1966,1.646407145
1967,3.502801749
1968,2.518183628
1969,5.350696392
1970,3.574742815
1971,2.691508278
1972,3.283152528
1973,1.832702487
1974,4.676659828
1975,4.00751221
1976,1.597319716
1977,0.725284634
1978,3.95245558
1979,1.886363284
1980,4.737863526
1981,7.902411442
1982,-1.393657273
1983,0.966298991
1984,2.970954364
1985,-2.913008963
1986,1.543099038
1987,5.346822244
1988,3.512787314
1989,1.36772223
1990,2.227625523
1991,-2.652267156
1992,6.318773374
1993,20.72906635
1994,6.736423157
1995,-0.102700118
1996,11.02803737
1997,-1.178453043
1998,-11.2436103
1999,13.80648106
2000,2.058685917
2001,-4.744907983
2002,-4.128708446
2003,4.962707975
2004,4.60849959
2005,nan
2006,nan
2007,-1.104412439
2008,1.341210651
2009,5.811560336
2010,2.814278752
2011,0.851247712
2012,5.964222648
2013,4.671882953
2014,3.392824947
2015,-2.643709751
2016,2.65103663
2017,2.353520634
2018,4.570944431
2019,2.258923506
2020,1.863869922
2021,1.081810495
2022,3.107810241
2023,nan
