date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,-2.416102126
1997,-8.667736758
1998,-11.53998243
1999,-11.48086522
2000,-0.137470542
2001,8.105070937
2002,2.081600832
2003,2.970901963
2004,8.386075949
2005,-1.715328467
2006,-5.428425548
2007,5.170679035
2008,-1.42337129
2009,11.28154145
2010,3.141751042
2011,0.771308957
2012,-9.129607269
2013,8.88023062
2014,1.803702555
2015,-8.533636752
2016,0.439833841
2017,1.508348999
2018,-9.641153017
2019,-2.20148534
2020,15.25678641
2021,-11.51517744
2022,1.133836186
2023,nan
