date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,1.006067178
1999,5.98503425
2000,5.955310963
2001,-2.539884556
2002,-0.491111739
2003,-0.971092913
2004,6.400275443
2005,1.844893262
2006,-1.929431519
2007,-4.620619363
2008,4.200313127
2009,3.395488001
2010,-2.928090268
2011,0.52181094
2012,-2.798018912
2013,6.227110229
2014,2.710656754
2015,1.598820268
2016,0.480877217
2017,0.436246902
2018,0.398346895
2019,0.197914336
2020,2.254903289
2021,-5.903348148
2022,nan
2023,nan
