date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,0.0
2002,-25.50723473
2003,11.28403546
2004,1.048951288
2005,18.68512532
2006,16.32652422
2007,10.02507327
2008,36.6742577
2009,-17.00000277
2010,19.477922
2011,5.378146378
2012,4.558998298
2013,5.87188681
2014,25.0619095
2015,7.741157371
2016,8.99113915
2017,20.62652061
2018,15.68580699
2019,16.69953225
2020,4.552291731
2021,0.466104217
2022,7.669963424
2023,nan
