date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,5.656760349
1970,-1.058041756
1971,3.942730209
1972,5.684541742
1973,5.701312355
1974,4.80896101
1975,6.7997644
1976,7.677860018
1977,54.31726765
1978,-12.09246008
1979,-13.04839092
1980,12.88854212
1981,4.577308887
1982,7.691733104
1983,8.859050419
1984,19.31687429
1985,18.32973005
1986,15.00947971
1987,16.49585244
1988,10.92674237
1989,7.0746832
1990,2.848986601
1991,2.964370421
1992,6.029935249
1993,3.501909617
1994,-2.199190588
1995,1.436662515
1996,-0.531957038
1997,3.496068342
1998,1.068533496
1999,2.126893634
2000,3.985095724
2001,0.281633158
2002,1.203644398
2003,0.887254485
2004,3.467689539
2005,0.794487249
2006,1.117103292
2007,1.933930287
2008,1.250725668
2009,1.258707198
2010,10.03216762
2011,5.232376912
2012,3.155288074
2013,4.485822331
2014,5.122079367
2015,4.626625328
2016,5.272507261
2017,4.43534496
2018,2.28828891
2019,2.237326538
2020,-1.6589565
2021,2.472588635
2022,4.084203912
2023,nan
