date,val
1960,nan
1961,-14.31863212
1962,11.37673652
1963,10.42141994
1964,2.298767805
1965,7.239470425
1966,-10.5872622
1967,9.019426457
1968,0.466694965
1969,1.942567563
1970,5.758077879
1971,-16.49040344
1972,23.8273921
1973,-16.09848483
1974,23.11512415
1975,4.217088354
1976,14.56720621
1977,-6.879606898
1978,-23.61477572
1979,27.14735274
1980,-18.16627817
1981,15.01408832
1982,8.62858498
1983,-24.56176323
1984,11.31598105
1985,17.75959971
1986,4.785102397
1987,5.604773361
1988,-15.53410802
1989,13.69484723
1990,-9.479179402
1991,6.062927976
1992,-5.978317659
1993,7.77605778
1994,-0.140097352
1995,9.364524186
1996,-3.680059494
1997,-0.92877535
1998,0.777342395
1999,13.70435926
2000,0.461236415
2001,1.846757996
2002,-22.98616477
2003,18.17107419
2004,3.430912999
2005,11.57578011
2006,-8.971229282
2007,-7.095577989
2008,21.43081814
2009,13.98401608
2010,4.757389045
2011,-15.69329129
2012,9.760321746
2013,1.949846911
2014,1.642292416
2015,10.64132133
2016,5.406805481
2017,11.47168444
2018,8.097313071
2019,4.29377226
2020,12.2440482
2021,0.554924094
2022,-1.441344006
2023,nan
