date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,-4.781352828
1966,1.699999995
1967,1.348605201
1968,1.654212177
1969,2.600080667
1970,2.040461012
1971,0.899200796
1972,0.496518762
1973,0.451840377
1974,1.151838581
1975,3.412017706
1976,5.156132177
1977,12.63471956
1978,19.59826276
1979,10.50555787
1980,0.872891604
1981,4.196106772
1982,3.84738007
1983,2.923032318
1984,18.89388987
1985,-5.3364515
1986,0.367070176
1987,6.105889858
1988,0.604557301
1989,-0.533909076
1990,49.82645192
1991,3.788265048
1992,-31.65773392
1993,-3.231789211
1994,5.071805863
1995,-9.858838509
1996,-5.74553656
1997,30.27163206
1998,7.553937992
1999,5.990855776
2000,7.798468304
2001,-37.53412312
2002,31.73657319
2003,9.470204052
2004,8.79126826
2005,6.825797355
2006,5.96715168
2007,13.25285433
2008,6.682681043
2009,4.021461391
2010,3.516919798
2011,4.891126761
2012,3.846719807
2013,4.552870628
2014,0.803678863
2015,3.533383935
2016,3.910461943
2017,4.477366171
2018,3.908077089
2019,5.426598558
2020,1.631151771
2021,2.503152328
2022,2.994862339
2023,nan
