date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,7.915081948
1997,6.796520886
1998,-1.025498944
1999,-0.039519546
2000,-10.77402355
2001,17.81030065
2002,-5.377535383
2003,-6.852478085
2004,18.96772513
2005,-4.894324942
2006,-0.205090648
2007,-7.842053012
2008,8.569204476
2009,0.811420645
2010,-0.386216311
2011,0.918988679
2012,-16.98441166
2013,21.00687564
2014,1.952416236
2015,2.15643289
2016,7.450671219
2017,-11.39288571
2018,15.11484489
2019,-1.650727242
2020,2.325474748
2021,-5.468298253
2022,-8.272594355
2023,nan
