date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,nan
2004,nan
2005,43.33012429
2006,6.286035045
2007,6.069541588
2008,2.604765669
2009,-2.439616181
2010,30.51007242
2011,-12.27842153
2012,23.22670905
2013,0.751560792
2014,6.756137338
2015,-1.201933179
2016,-4.334581082
2017,15.77480049
2018,-1.320007374
2019,0.09087713
2020,3.909482756
2021,6.200011476
2022,1.999968287
2023,nan
