date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,-5.325537731
1992,-3.664506842
1993,-2.244607787
1994,-7.146303991
1995,-3.291499526
1996,-1.891824484
1997,0.337071356
1998,-6.055322588
1999,2.490227382
2000,4.928415086
2001,4.673140285
2002,4.091244582
2003,-0.412707357
2004,5.938463817
2005,1.589899622
2006,2.108733276
2007,-2.523528088
2008,6.123111062
2009,3.25694147
2010,-1.920937896
2011,8.686708547
2012,-2.284336619
2013,6.302836787
2014,2.201124783
2015,3.135489081
2016,1.700799099
2017,2.485255481
2018,1.875444909
2019,2.209325619
2020,1.895119369
2021,0.348874694
2022,0.63551411
2023,nan
