date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,3.899999596
1987,-6.399999509
1988,10.89999254
1989,-13.10000097
1990,-9.099991893
1991,-4.400008083
1992,-26.70000044
1993,-4.399993094
1994,-8.399998362
1995,-13.40000911
1996,-17.79999643
1997,3.599992919
1998,6.299993881
1999,3.100003371
2000,12.89304459
2001,6.6
2002,16.79999933
2003,9.0
2004,11.30000387
2005,1.599994101
2006,5.400006387
2007,6.499999862
2008,7.89999753
2009,10.50000204
2010,6.799993189
2011,7.900007941
2012,10.4000003
2013,7.59999468
2014,4.499998772
2015,3.200000546
2016,5.2
2017,6.799999997
2018,7.000000004
2019,6.999999999
2020,7.9
2021,-0.3
2022,7.999999998
2023,nan
