date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,-0.984375065
2002,5.973422522
2003,-0.92707386
2004,5.223702419
2005,2.230909012
2006,5.910233175
2007,-1.443123069
2008,6.381257548
2009,2.799425095
2010,4.366378954
2011,-16.26927052
2012,18.84568973
2013,-5.206850446
2014,-1.243645219
2015,-4.384538387
2016,-1.329821662
2017,-2.948507819
2018,2.893846736
2019,2.453517972
2020,0.55830845
2021,5.490481814
2022,5.398127952
2023,nan
