date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,3.619916538
1983,-2.182728143
1984,-1.989461896
1985,3.584840868
1986,7.89541627
1987,3.417058196
1988,1.714050953
1989,8.637158848
1990,-1.600646505
1991,2.513778181
1992,0.051183291
1993,5.057660616
1994,0.337650739
1995,3.945758569
1996,8.578878286
1997,4.414398915
1998,2.616463404
1999,4.270495059
2000,-0.181288958
2001,4.474224873
2002,13.80740147
2003,4.607727749
2004,2.523170035
2005,6.063665931
2006,5.648677662
2007,3.446319365
2008,5.194575121
2009,3.608996064
2010,4.962230143
2011,2.169587991
2012,3.43468382
2013,3.081384225
2014,4.930523879
2015,3.38242263
2016,3.408108602
2017,4.347700712
2018,2.630209132
2019,2.270976901
2020,3.063817067
2021,3.225973026
2022,3.008513448
2023,nan
