date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,11.41302314
1986,0.731726285
1987,0.242121432
1988,6.859895965
1989,5.831842419
1990,18.21869825
1991,-7.046054886
1992,-1.146752568
1993,8.415251351
1994,7.689525995
1995,0.975376109
1996,6.873288165
1997,13.11795996
1998,-7.239639755
1999,2.262637977
2000,-2.366619087
2001,8.677566085
2002,8.710582495
2003,-15.26041853
2004,-34.22635683
2005,-5.445436128
2006,-10.13591674
2007,21.78928115
2008,7.640494011
2009,-32.36213677
2010,32.0901944
2011,0.306416997
2012,91.22359698
2013,-6.391692482
2014,20.09153072
2015,0.455831054
2016,-3.847030811
2017,4.266649334
2018,8.588692432
2019,-14.23713067
2020,-12.17149859
2021,-3.505541325
2022,-11.50094197
2023,nan
