date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,-18.10178156
1981,22.19845185
1982,-11.69913307
1983,43.28934008
1984,6.40698906
1985,-7.15018823
1986,-3.684598236
1987,-8.951798042
1988,-3.991597094
1989,3.632385569
1990,17.7364864
1991,-8.715924479
1992,-4.479372362
1993,7.651172248
1994,1.260986318
1995,3.811320487
1996,4.834605889
1997,4.646324711
1998,8.581842249
1999,-4.53125
2000,4.676174889
2001,-0.301541211
2002,1.467458273
2003,3.742548024
2004,4.565286794
2005,2.310197435
2006,1.472197354
2007,3.499656896
2008,-0.880848646
2009,-4.796942188
2010,4.637157483
2011,3.20383693
2012,-1.914676085
2013,1.374016867
2014,12.36679753
2015,-5.731636303
2016,5.885986587
2017,0.19168264
2018,0.898353019
2019,nan
2020,nan
2021,nan
2022,nan
2023,nan
