Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,4.645922247,-2.385096491,-2.337763111,-2.847116666,8.214486714,6.653437364,-1.374820367,11.45982493,-4.509494001,1.37553448,-0.006739777,5.966498726,-1.012983693,4.013087766,11.57864713,5.270284705,1.166527243,3.538165796,-1.021698632,5.254662741,0.619305843,2.693500146,0.711868703,4.848873923,5.450022835,1.327169669,3.590085815,2.346947383,3.854018413,2.608341582,0.065366433,3.608158184,5.098361166,3.241346433,2.375306517,3.690654434,1.810776866,1.448662899,3.335210065,3.967968073,2.636921042,
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.798310323,-22.23635607,17.69810321,-5.109251174,14.70044629,-14.91632976,44.56295492,-6.375134495,-7.592323523,18.22478943,0.005267441,-0.100705134,-5.657217847,5.971751858,6.411059022,-4.41531138,17.45982481,5.942340398,-9.780633965,,
Africa Western and Central,AFW,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,1.983248389,-1.825765235,-1.378584441,15.02135138,7.416219181,-1.402855891,6.690163995,4.433636595,3.022660723,4.303554721,0.139704871,3.670749738,2.444396783,3.84428152,3.887668122,2.976825579,5.106062236,5.480803203,1.18206194,3.261020223,34.71067187,6.954255719,4.655074572,7.415433015,5.864450191,5.560165452,6.730869361,4.720030419,5.908755921,1.802118043,6.278941374,2.662698779,4.795896531,3.495910711,4.236897807,4.865542002,3.268796889,2.90276268,2.858251632,2.659576998,3.293943382,
Angola,AGO,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.022842415,9.073096171,4.549134155,16.30310755,5.577322782,4.752971789,5.729999889,8.694133438,9.290196744,7.177497575,4.016892911,17.17437706,10.16048075,3.85272126,0.457774816,-2.482599407,-1.747257213,2.843708419,17.20485003,3.939829256,
Albania,ALB,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.11227752,6.23379361,5.395329513,6.695426768,2.693068379,2.047752202,2.943582606,6.307945302,0.678565773,3.118504495,2.716325787,7.071481622,1.904877065,7.650025763,4.772922292,5.392682097,1.135027912,1.961838447,0.767592593,2.047520514,0.837116542,1.176934471,0.626890596,1.349035396,1.800568266,0.055841995,
Andorra,AND,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.572815534,-8.718487395,17.95166858,7.024390244,-3.281677302,-2.639019793,6.001936108,4.200913242,-2.541630149,9.172661871,5.189456343,16.44479248,-6.052454607,-5.86972083,-3.19391635,5.420267086,7.600596125,-0.761772853,-2.442428472,-4.935622318,3.085026336,1.459854015,
Arab World,ARB,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,1.418262428,7.224122105,4.082482121,2.17707816,-2.639336818,7.528107255,-0.534976348,10.51772048,6.097305322,-2.973619245,-3.944918356,2.031600815,4.429477424,10.02438685,-2.069361101,2.733132273,3.624872951,9.072336468,3.414726617,2.312638202,11.6543871,-2.847918113,1.984964912,6.929434456,0.373106686,4.663989165,-1.444570489,9.385004146,2.577392206,7.048299025,0.847774563,-2.788883439,4.859099258,3.516048788,3.203444092,0.874400163,3.554437603,6.162193109,-5.203064108,1.455936049,5.807924786,2.691944679,4.806924958,0.107616528,5.059368282,-0.361577049,-0.306081463,0.993584317,2.975016042,3.438321104,4.025448064,0.801054207,0.92495983,0.947362686,
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.210279333,-3.1166052,-1.970845088,-4.013585963,-8.641924025,-1.842344039,-10.89171323,-0.410620034,-10.80988494,5.358921606,3.821219522,-0.744908237,-0.166131584,0.39954798,4.015214596,4.373587123,4.904115684,9.960527306,-3.077033035,27.22853247,2.289344579,
Argentina,ARG,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,,,,,,,0.917483064,2.545519328,-4.255366373,4.44449596,-9.290894875,1.573616093,1.924221586,10.7147354,2.728396495,-2.747213099,4.719644091,2.444911363,2.784402314,2.863841784,-6.006531908,3.494103704,7.478221152,2.027512518,0.358310209,-1.695118559,0.178732596,-2.727992339,7.866173311,-8.21771524,8.480510723,4.093147898,0.187998716,2.425672187,7.277588547,5.552498334,-0.890091314,0.608914675,8.296077103,2.374349492,-1.765876735,1.491126224,-2.650506664,6.770418038,0.38332477,18.78847945,-0.52555081,8.537582928,-2.185821337,-26.10145648,39.52397782,-2.428483193,-12.87515309,11.47661962,3.104253191,7.541961722,-4.716943353,3.445064582,-14.58152225,21.43539357,-7.513449137,1.896343289,-4.490579234,
