date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,2.798310323
2004,-22.23635607
2005,17.69810321
2006,-5.109251174
2007,14.70044629
2008,-14.91632976
2009,44.56295492
2010,-6.375134495
2011,-7.592323523
2012,18.22478943
2013,0.005267441
2014,-0.100705134
2015,-5.657217847
2016,5.971751858
2017,6.411059022
2018,-4.41531138
2019,17.45982481
2020,5.942340398
2021,-9.780633965
2022,nan
2023,nan
