date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,nan
2003,8.022842415
2004,9.073096171
2005,4.549134155
2006,16.30310755
2007,5.577322782
2008,4.752971789
2009,5.729999889
2010,8.694133438
2011,9.290196744
2012,7.177497575
2013,4.016892911
2014,17.17437706
2015,10.16048075
2016,3.85272126
2017,0.457774816
2018,-2.482599407
2019,-1.747257213
2020,2.843708419
2021,17.20485003
2022,3.939829256
2023,nan
