date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,-1.999996739
1992,-8.700001288
1993,-5.799997739
1994,3.099995697
1995,4.000002755
1996,1.994688228
1997,-4.499539797
1998,12.85923609
1999,1.400004972
2000,-1.099999992
2001,12.13713128
2002,3.869017254
2003,4.213302957
2004,14.53794519
2005,11.27815014
2006,0.483597757
2007,10.30000802
2008,3.000000012
2009,5.922553817
2010,-15.90577663
2011,14.0
2012,9.500000009
2013,7.6
2014,6.100000006
2015,13.2
2016,-4.999999999
2017,-5.100000003
2018,-6.900000005
2019,-5.8
2020,-3.699999994
2021,-0.8
2022,-0.7
2023,nan
