date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,8.271965171
1977,2.669290328
1978,-3.270697054
1979,21.70916609
1980,-12.29827293
1981,-12.32799322
1982,16.3582804
1983,-21.86313291
1984,43.29975194
1985,0.194305094
1986,-6.984944113
1987,1.072782411
1988,-2.160297041
1989,4.412159313
1990,8.194434246
1991,5.544621649
1992,-5.307998971
1993,5.259226564
1994,4.141668279
1995,-14.65341015
1996,21.0705861
1997,8.033332334
1998,0.721400627
1999,10.05481943
2000,6.855898476
2001,3.968142422
2002,3.199351118
2003,-21.53305388
2004,25.63367742
2005,4.287549276
2006,2.907198981
2007,-15.13650715
2008,8.185001459
2009,17.27804001
2010,-0.734039903
2011,3.411592076
2012,0.920445847
2013,-0.851000851
2014,1.112064783
2015,1.470751061
2016,-7.130776365
2017,9.383934516
2018,-2.771312972
2019,-10.53397164
2020,-9.728539381
2021,22.98800784
2022,15.72156826
2023,nan
