date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,-2.216170998
1978,1.350689299
1979,3.211774707
1980,-2.253817193
1981,-3.800920887
1982,6.757958086
1983,-3.454714348
1984,0.250253536
1985,-3.349128643
1986,2.057529231
1987,-1.040934691
1988,3.051574199
1989,-0.501576909
1990,7.622929039
1991,-2.985202683
1992,-2.074945538
1993,-1.83033697
1994,7.801577093
1995,0.27215988
1996,-0.056941506
1997,0.315194584
1998,5.147575223
1999,4.873501533
2000,-3.598387302
2001,-0.682198777
2002,-1.616131234
2003,-2.457551385
2004,8.580357789
2005,-2.310380336
2006,-1.495327634
2007,9.423132391
2008,7.175844163
2009,-6.606852553
2010,-5.076501725
2011,14.25428558
2012,-7.234485823
2013,-2.979538738
2014,2.779666321
2015,2.098126045
2016,2.244235793
2017,5.213475122
2018,2.889243668
2019,-3.225064634
2020,-7.521020405
2021,6.356333623
2022,6.622658776
2023,nan
