date,val
1960,nan
1961,5.208136666
1962,5.246177198
1963,-3.364688932
1964,9.538324061
1965,-1.066446185
1966,2.5904944
1967,-2.693533641
1968,10.27067214
1969,0.972407135
1970,5.422769301
1971,-4.508098223
1972,-10.70660626
1973,0.272871769
1974,6.438208427
1975,-4.563524652
1976,8.387863927
1977,-3.658242081
1978,7.834220164
1979,-0.664807058
1980,-1.518205102
1981,3.303884672
1982,1.02373719
1983,3.889743451
1984,4.905098749
1985,0.190430821
1986,3.325031424
1987,0.095033405
1988,-0.436044383
1989,-0.177027262
1990,9.211673781
1991,2.129153236
1992,2.323351117
1993,2.389076739
1994,0.737008392
1995,-0.372499007
1996,2.967581283
1997,4.518572147
1998,3.93540914
1999,3.881541663
2000,7.390266092
2001,2.757926823
2002,-0.118901139
2003,3.983851121
2004,4.973513596
2005,4.382454979
2006,5.552717783
2007,6.692496277
2008,4.493867872
2009,3.466088471
2010,6.151947121
2011,4.456368994
2012,3.014271413
2013,2.464887536
2014,4.371870053
2015,3.328381063
2016,2.786267951
2017,3.196007227
2018,3.544539901
2019,3.260577684
2020,3.420947932
2021,3.174571822
2022,3.053950554
2023,nan
