date,val
1960,nan
1961,2.463061952
1962,3.605780324
1963,3.480255013
1964,3.643550163
1965,-7.10140231
1966,17.9150139
1967,10.3004176
1968,17.50971628
1969,1.05960758
1970,-1.703808632
1971,25.8666763
1972,26.27118344
1973,31.16610436
1974,9.785750575
1975,-5.063037347
1976,3.241662527
1977,1.632276467
1978,-3.312514493
1979,-2.710807218
1980,-4.730853221
1981,-3.80833192
1982,-5.421142587
1983,-13.44732965
1984,-8.51904409
1985,4.457486829
1986,1.769763319
1987,28.13263036
1988,19.58396683
1989,-2.821387239
1990,3.012442115
1991,2.733631797
1992,1.051983066
1993,-2.452563385
1994,-3.059914076
1995,21.44682748
1996,-3.227817651
1997,-6.936832851
1998,-5.021210942
1999,8.604500742
2000,-13.81452118
2001,11.18901774
2002,-20.48519805
2003,20.12500106
2004,0.472496264
2005,-2.50307542
2006,13.32766704
2007,12.23511699
2008,1.973856121
2009,6.372374329
2010,5.816764039
2011,0.175046861
2012,-8.531968836
2013,1.329622461
2014,-2.293149014
2015,-2.847501734
2016,15.41127019
2017,-8.753422503
2018,8.066321837
2019,2.443740102
2020,-2.654549974
2021,-1.049646732
2022,2.432552721
2023,nan
