date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,-1.123428867
1997,-0.041806285
1998,-7.430015067
1999,-4.48292247
2000,-5.32571014
2001,10.31285834
2002,-1.438471713
2003,1.837594309
2004,15.05455049
2005,-5.240396171
2006,-1.966837047
2007,-10.51426777
2008,13.36137584
2009,2.875816791
2010,-9.377562689
2011,5.501530074
2012,-11.26036117
2013,11.42211807
2014,6.57556946
2015,-5.082661225
2016,3.194901755
2017,1.795922928
2018,1.919755205
2019,-0.635530662
2020,1.057383897
2021,-1.073089048
2022,-7.903030038
2023,nan
