date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,0.492545374
1970,-13.46024006
1971,2.707507494
1972,1.532729694
1973,3.804968358
1974,1.976935937
1975,-1.483124158
1976,5.328287199
1977,-3.299006834
1978,0.170600656
1979,3.065123809
1980,2.80773791
1981,2.003726398
1982,3.2008105
1983,2.117386624
1984,2.623947861
1985,2.759281313
1986,2.356443798
1987,2.033727848
1988,2.923511176
1989,2.801555084
1990,2.611658031
1991,2.803394834
1992,3.121634412
1993,1.878915089
1994,-0.819673779
1995,11.60468574
1996,2.099996106
1997,-2.720342648
1998,-1.454144972
1999,2.300002429
2000,-11.69981993
2001,-1.506816551
2002,-3.63445038
2003,0.663586728
2004,1.610480641
2005,0.481645726
2006,5.637787939
2007,2.763457484
2008,2.772520637
2009,2.781430804
2010,3.614424055
2011,3.571958292
2012,3.453097133
2013,4.245800003
2014,4.73978133
2015,4.65686075
2016,3.260058031
2017,1.610424479
2018,1.573805656
2019,3.143773157
2020,2.532117265
2021,2.35104706
2022,2.387478785
2023,nan
