date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,2.789261186
1967,7.08752602
1968,6.283793656
1969,3.544617077
1970,3.432570242
1971,0.816504692
1972,7.816220759
1973,2.364557619
1974,5.547542956
1975,5.781781214
1976,3.052725129
1977,3.268150822
1978,8.115246797
1979,4.844794136
1980,2.213655443
1981,3.202474144
1982,-1.893856336
1983,2.808705085
1984,1.754484846
1985,1.646686448
1986,3.375474868
1987,6.38442075
1988,2.76916543
1989,4.298742268
1990,5.82606341
1991,3.461679013
1992,1.258779055
1993,1.709295717
1994,2.539973152
1995,3.7330167
1996,-1.235266337
1997,0.650095567
1998,0.038786137
1999,-0.047597669
2000,3.849374888
2001,1.767643291
2002,4.550783795
2003,3.090085974
2004,2.977317595
2005,2.813701612
2006,2.131419979
2007,3.931089702
2008,-0.805188996
2009,-0.232995115
2010,0.303852142
2011,1.910222066
2012,2.503316464
2013,7.453565009
2014,2.910672466
2015,4.299956654
2016,2.736680243
2017,5.576343521
2018,1.593930802
2019,2.717329813
2020,2.33702337
2021,3.065800804
2022,-1.767669943
2023,nan
