date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,8.569397358
1972,4.822957493
1973,3.451651633
1974,1.024875138
1975,9.42286458
1976,5.353474175
1977,8.758697665
1978,6.721116691
1979,1.246749481
1980,-5.318014987
1981,19.47339009
1982,9.601411619
1983,5.914309058
1984,8.31059497
1985,-2.171313434
1986,1.529068436
1987,2.190103407
1988,3.449580984
1989,0.427906488
1990,-8.739931788
1991,-23.99362097
1992,-10.32287086
1993,-22.73828476
1994,-4.919454175
1995,4.105075354
1996,17.46586293
1997,2.335241945
1998,-14.11409764
1999,11.62419365
2000,9.120558448
2001,0.891405799
2002,-2.515461774
2003,2.393772991
2004,0.20826825
2005,-11.64372175
2006,-6.045553252
2007,18.03843024
2008,0.63630097
2009,-0.205490279
2010,-5.913410771
2011,4.320987654
2012,0.699300699
2013,4.700854701
2014,2.244897959
2015,2.49001996
2016,5.80846195
2017,-1.408262428
2018,2.665195336
2019,-10.95603946
2020,-22.92336754
2021,-13.15493144
2022,-6.071237892
2023,nan
