date,val
1960,nan
1961,2.486215729
1962,3.922426365
1963,8.509920218
1964,11.26260783
1965,7.120014647
1966,7.149486698
1967,1.022271254
1968,1.044269343
1969,1.780401151
1970,6.194336374
1971,2.56612599
1972,0.259371321
1973,8.386300025
1974,3.628581854
1975,1.791867405
1976,1.491940433
1977,-0.403823223
1978,0.226978579
1979,6.057611703
1980,-1.292981972
1981,5.065999256
1982,8.766060001
1983,5.398786409
1984,10.34858402
1985,2.361466416
1986,2.705034154
1987,3.544712331
1988,3.349492487
1989,3.413094104
1990,4.756299402
1991,2.553364235
1992,4.393461095
1993,0.835788013
1994,2.67490644
1995,2.786762284
1996,5.19969301
1997,2.61364985
1998,1.70632389
1999,2.988684298
2000,3.066040571
2001,1.741421794
2002,2.855028173
2003,1.203408043
2004,4.658983454
2005,4.123648345
2006,4.176215562
2007,3.162105029
2008,5.008960771
2009,3.041769831
2010,2.948834277
2011,3.93510212
2012,3.730753905
2013,3.259368062
2014,3.332240582
2015,2.820629597
2016,1.879034482
2017,3.881024826
2018,2.971251504
2019,2.610368853
2020,1.915853254
2021,5.9202017
2022,3.973013296
2023,nan
