date,val
1960,nan
1961,5.369949273
1962,8.598937582
1963,0.596147969
1964,0.501443546
1965,-1.179316598
1966,0.544941093
1967,3.271749682
1968,-2.986686517
1969,3.500207312
1970,4.098905533
1971,-0.789983541
1972,3.013971182
1973,-0.478326475
1974,8.000270154
1975,6.855285391
1976,0.945512265
1977,-3.294061968
1978,-12.36385058
1979,1.899367715
1980,1.716545919
1981,13.83122874
1982,0.420536225
1983,-17.17272589
1984,14.84728489
1985,7.92272189
1986,12.79578859
1987,5.443481712
1988,5.625826313
1989,6.856389498
1990,4.434530082
1991,8.528032362
1992,4.023495758
1993,-0.498318813
1994,5.288889375
1995,3.3455579
1996,5.928412158
1997,5.221559408
1998,-2.979508723
1999,8.849039529
2000,0.834332005
2001,4.965135361
2002,1.766687563
2003,6.607247953
2004,2.385050814
2005,7.058366273
2006,4.30875212
2007,3.419525807
2008,1.667102532
2009,1.715203926
2010,0.73926763
2011,7.941257996
2012,0.775396909
2013,6.693635299
2014,7.581121506
2015,2.909047967
2016,0.859837313
2017,5.530198471
2018,0.115003306
2019,1.617481695
2020,0.357575961
2021,3.386402385
2022,-1.012630536
2023,nan
