date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,2.531482079
1997,22.93800256
1998,31.15959601
1999,-13.75239901
2000,14.049734
2001,-19.43399473
2002,15.76007308
2003,9.817819511
2004,1.637479806
2005,0.136313929
2006,7.590934257
2007,27.08676101
2008,2.075656037
2009,-18.67952304
2010,9.289690851
2011,8.294500635
2012,1.659003426
2013,-4.960508232
2014,12.25867555
2015,2.784479152
2016,-23.78971397
2017,6.82856488
2018,-10.47112566
2019,35.71004781
2020,-0.300201449
2021,-15.62944952
2022,-24.91220561
2023,nan
