date,val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,-3.140590142
1983,14.05488998
1984,-12.3896796
1985,-20.52823147
1986,16.51840093
1987,17.38135399
1988,-1.442499045
1989,0.936329766
1990,5.42524389
1991,2.472221322
1992,-1.566446028
1993,6.586934214
1994,-2.579820816
1995,3.766696779
1996,16.96198794
1997,2.002147148
1998,-9.640327399
1999,3.397766244
2000,3.053162715
2001,9.624306669
2002,-1.87554733
2003,-10.48488488
2004,16.94482139
2005,13.54293801
2006,10.90878145
2007,9.448316885
2008,7.501473025
2009,6.36096033
2010,5.130302621
2011,9.014984817
2012,4.922098723
2013,7.098457639
2014,5.44672929
2015,6.377789827
2016,4.199835314
2017,6.677348266
2018,3.506834777
2019,3.834364931
2020,4.253859862
2021,5.54965867
2022,6.118488151
2023,nan
